Distribution In,AVE,Distribution Out,AVE,MAX Queue Size,MIN Queue Size,AVE Queue Size
Poisson,8,Exponential,5,2,0,0.6363636363636364
Poisson,8,Exponential,5,1,0,0.17391304347826086
Poisson,3,Exponential,3,2,0,0.8461538461538461
Poisson,3,Exponential,3,3,0,1.4444444444444444
Poisson,3,Exponential,3,0,0,0
Poisson,3,Exponential,3,0,0,0.0
Poisson,3,Exponential,3,7,0,2.4
Poisson,3,Exponential,3,0,0,0.0
Poisson,3,Exponential,3,5,0,2.8461538461538463
Poisson,3,Exponential,3,2,0,0.8
Poisson,3,Exponential,3,2,0,0.3
Poisson,3,Exponential,3,1,0,0.14285714285714285
Poisson,3,Exponential,3,0,0,0.0
Poisson,3,Exponential,3,3,0,0.6
Poisson,3,Exponential,3,4,0,1.4
Poisson,3,Exponential,3,3,0,1.0
Poisson,8,Exponential,0.05,0,0,0.0
Poisson,8,Exponential,0.08333333333333333,0,0,0.0
Poisson,3,Exponential,3,0,0,0.0
Poisson,3,Exponential,3,1,0,0.3333333333333333
Poisson,5,Exponential,3,0,0,0.0
Poisson,1,Exponential,3,27,0,13.675
Poisson,2,Exponential,3,0,0,0.0
Poisson,2,Exponential,3,0,0,0.0
Poisson,2,Exponential,3,0,0,0.0
Poisson,2,Exponential,3,0,0,0.0
Poisson,2,Exponential,3,7,0,4.631578947368421
Poisson,2,Exponential,3,9,0,5.166666666666667
Poisson,2,Exponential,3,2,0,1.4
